fuel type,Body type,Kms Driven,transmission,Ownership,oem,price,Seats,Max Power,Torque,Mileage,City,Engine_category,Car_Age
Petrol,SUV,20000,Automatic,1st Owner,Kia,1150000,5,118.36,172.0,18.9,Chennai,1000,2
Petrol,Minivans,20687,Manual,1st Owner,Maruti,415000,7,73.0,101.0,15.37,Chennai,1000,9
Petrol,SUV,30000,Manual,1st Owner,Nissan,750000,5,98.63,160.0,20.0,Chennai,1000,3
Petrol,Hatchback,59247,Manual,1st Owner,Hyundai,398000,5,68.05,99.04,19.81,Chennai,1000,9
Petrol,Hatchback,50000,Manual,1st Owner,Honda,550000,5,88.7,110.0,18.7,Chennai,1000,9
Diesel,Sedan,20000,Automatic,1st Owner,Mercedes-Benz,3300000,5,204.0,500.0,13.0,Chennai,2000,8
Petrol,Hatchback,29403,Automatic,1st Owner,Maruti,453000,5,67.04,90.0,23.1,Chennai,1000,8
Petrol,Hatchback,42700,Manual,1st Owner,Maruti,285000,5,66.1,90.0,19.0,Chennai,1000,14
Diesel,SUV,23001,Automatic,1st Owner,BMW,5000000,5,187.7,400.0,16.55,Chennai,2000,6
Petrol,SUV,25925,Automatic,2nd Owner,Ford,821000,5,121.36,150.0,14.8,Chennai,1000,6
Petrol,Hatchback,20000,Manual,1st Owner,Hyundai,865000,5,81.8,114.74,21.0,Chennai,1000,3
Petrol,Hatchback,17711,Automatic,1st Owner,Honda,792000,5,88.7,110.0,18.2,Chennai,1000,5
Diesel,Sedan,50000,Automatic,1st Owner,BMW,4050000,5,187.74,400.0,20.37,Chennai,2000,4
Petrol,Hatchback,50000,Manual,1st Owner,Maruti,610000,5,81.8,113.0,22.0,Chennai,1000,6
Petrol,Hatchback,51125,Manual,2nd Owner,Hyundai,511000,5,81.86,113.75,18.9,Chennai,1000,6
Diesel,SUV,69233,Manual,1st Owner,Tata,710000,5,108.5,260.0,21.5,Chennai,1000,5
Diesel,SUV,65000,Manual,1st Owner,Jeep,1225000,5,167.67,350.0,17.1,Chennai,2000,7
Petrol,Sedan,93281,Manual,1st Owner,Honda,570000,5,117.3,145.0,17.4,Chennai,1000,10
Diesel,SUV,18000,Manual,1st Owner,Toyota,3900000,7,201.15,420.0,18.9,Chennai,3000,2
Petrol,Sedan,99225,Manual,2nd Owner,Honda,375000,5,86.7,109.0,18.0,Chennai,1000,10
Petrol,Hatchback,30000,Manual,1st Owner,Hyundai,275000,5,68.05,94.14,20.3,Chennai,1000,8
Petrol,Sedan,30602,Manual,1st Owner,Honda,429000,5,86.7,109.0,18.0,Chennai,1000,10
Diesel,Hatchback,64500,Manual,1st Owner,Maruti,675000,5,74.0,190.0,25.2,Chennai,1000,6
Petrol,Sedan,46809,Manual,2nd Owner,Honda,793000,5,117.3,145.0,17.8,Chennai,1000,7
Electric,SUV,20000,Automatic,1st Owner,Tata,1100000,5,127.0,245.0,18.9,Chennai, less than 800,4
Diesel,SUV,20000,Automatic,1st Owner,Hyundai,1425000,5,126.2,259.9,17.01,Chennai,2000,5
Petrol,SUV,21725,Automatic,1st Owner,Hyundai,1036000,5,118.35,171.6,18.15,Chennai,1000,4
Petrol,Sedan,80000,Manual,1st Owner,Honda,800000,5,117.3,145.0,17.8,Chennai,1000,8
Petrol,Sedan,88000,Automatic,2nd Owner,Audi,1400000,5,177.01,320.0,13.53,Chennai,2000,11
Petrol,Sedan,30360,Automatic,2nd Owner,Honda,1088000,5,117.6,145.0,17.4,Chennai,1000,5
Petrol,Hatchback,70000,Automatic,2nd Owner,Maruti,590000,5,83.1,115.0,21.4,Chennai,1000,7
Petrol,Hatchback,16246,Manual,1st Owner,Hyundai,568000,5,82.0,114.0,18.9,Chennai,1000,8
Petrol,Hatchback,55000,Automatic,2nd Owner,Maruti,400000,5,67.04,90.0,23.1,Chennai,1000,7
Petrol,MUV,13000,Automatic,1st Owner,Toyota,2790000,7,163.6,245.0,8.0,Chennai,3000,2
Petrol,Hatchback,71638,Automatic,2nd Owner,Maruti,422000,5,67.04,90.0,23.1,Chennai,1000,8
Petrol,Sedan,46105,Manual,1st Owner,Honda,450000,5,86.7,109.0,18.0,Chennai,1000,9
Petrol,SUV,60000,Manual,1st Owner,Honda,650000,5,88.7,110.0,17.5,Chennai,1000,7
Diesel,Hatchback,80000,Manual,1st Owner,Honda,575000,5,98.6,200.0,27.3,Chennai,1000,7
Diesel,Hatchback,58000,Automatic,1st Owner,Mercedes-Benz,1950000,5,107.3,250.0,15.0,Chennai,2000,9
Petrol,Sedan,70000,Manual,2nd Owner,Maruti,150000,5,85.0,110.0,15.9,Chennai,1000,16
Petrol,Hatchback,61764,Automatic,1st Owner,Maruti,702000,5,83.1,115.0,21.4,Chennai,1000,7
Petrol,SUV,36018,Manual,2nd Owner,Mahindra,448000,6,82.0,115.0,18.15,Chennai,1000,8
Diesel,SUV,150000,Automatic,1st Owner,Renault,650000,5,108.45,245.0,19.6,Chennai,1000,8
Petrol,Hatchback,17197,Manual,1st Owner,Hyundai,801000,5,98.63,172.0,20.7,Chennai,1000,2
Petrol,Sedan,62931,Automatic,2nd Owner,Honda,772000,5,117.3,145.0,18.0,Chennai,1000,8
Petrol,Sedan,90000,Manual,2nd Owner,Toyota,500000,5,138.1,173.0,14.53,Chennai,2000,11
Petrol,SUV,21023,Manual,1st Owner,Mahindra,1103000,5,108.62,200.0,16.82,Chennai,1000,3
Diesel,Sedan,43000,Manual,1st Owner,Toyota,1490000,5,86.79,205.0,21.43,Chennai,1000,6
Diesel,Sedan,110505,Automatic,1st Owner,Maruti,627000,5,74.02,190.0,28.4,Chennai,1000,7
Petrol,Sedan,78892,Manual,1st Owner,Hyundai,835000,5,121.3,151.0,17.0,Chennai,2000,6
Diesel,Sedan,59000,Automatic,1st Owner,Audi,2089999,5,187.74,400.0,18.53,Chennai,2000,9
Petrol,Sedan,90058,Manual,1st Owner,Chevrolet,350000,5,82.4,108.5,18.2,Chennai,1000,10
